id,vf_an_01,vf_an_02,vf_an_03,vf_an_04,vf_an_05,vf_an_06,vf_an_07,vf_an_08,vf_an_09,vf_an_10,vf_an_11,vf_an_12,vf_an_13,vf_an_14,vf_an_15,vf_an_16,vf_an_17,vf_an_18,vf_an_19,vf_an_20,vf_an_21,vf_an_22,vf_an_23,vf_an_24,vf_an_25,vf_an_26,vf_an_27,vf_an_28,vf_an_29,vf_an_30,vf_an_31,vf_an_32,vf_an_33,vf_an_34,vf_an_35
4,cat,dog,giraffe,elephant,monkey,chicken,donkey,rat,bird,snake,Rhino,Buffalo,cow,goat,alpaca,pig,shark,fish,penguin,turtle,bears,99,99,99,99,99,99,99, , , , , , , 
6,cat,mouse,dog,raccoon,squirrell,snake,bear,deer,rabit,bird,monkey,zebra,lion,tiger,crow,giraffe,elephant,gazelle,fox,figh,shark,starfish,seahorse,horse,alpaca,99,99,99, , , , , , , 
7,monkeys,cats,dogs,gorillas,zebra,fish,elephant,giraff,ant,lion,tiger,pig,horse,donkey,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
9,jaguar,cat,dog,mice,deer,dolphin,giraffe,kangaroo,fish,snail,tiger,lion,snake,rat,racoon,bear,stingray,moose,cantelope,armadillo,birsd,bird,99,99,99,99,99,99, , , , , , , 
10,cat,dog,fish,bird,monkey,elephant,giraffe,dolphin,shark,lion,tiger,bear,penguin,snake,shark,spider,mouse,rat,skunk,squirrel,flamingo,polar bear,tiger,parrot,ferret,bunny,lizard,99, , , , , , , 
11,dog,cat,spider,cow,horse,pig,monkey,fish,shark,snake,elephant,mouse,rat,roach,butterfly,eagle,pigeon,bull,lion,tiger,flamingo,zebro,99,99,99,99,99,99, , , , , , , 
14,polar bear,panda bear,koala bear,fish,octopus,squid,gold fish,clown fish,bird,eagle,hawk,falcon,vulture,slug,snail,sloth,dog,shih tzu,lab,golden retirever,cat,russian blue,canary,whale,orca,sperm whale,99,99, , , , , , , 
15,dog,cat,monkey,baboon,chimp,ape,gorilla,zebra,donkey,lion,tiger,bear,bird,mouse,rat,snail,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , 
16,dog,cat,rabbit,squirell,horse,chicken,cow,bird,lion,tiger,bear,monkey,fish,seahorse,hamster,guinea pig,turtle,frog,fox,heron,duck,99,99,99,99,99,99,99, , , , , , , 
17,fox,cat,dog,bird,possum,rat,zebra,elephant,cheetah,tiger,lion,deer,cow,pig,snake,frog,lizard,farrot,99,99,99,99,99,99,99,99,99,99, , , , , , , 
18,cat,dog,cow,elephant,giraffe,snake,bird,fish,monkey,raccoon,scorpion,bee,parrott,bear,deer,turkey,chicken,bull,human,99,99,99,99,99,99,99,99,99, , , , , , , 
21,bear,dog,cat,wolf,snake,rat,bat,guinea pig,pig,horse,cow,donkey,lion,jaguar,ocelot,caracal,salmon,bird,hawk,racoon,deer,frog,hog,fox,99,99,99,99, , , , , , , 
24,Dog,Cat,Horse,Giraffee,Turtle,Sugar glider,Hippo,Rhino,Lion,Tiger,Wolf,Fox,Elephant,Zebra,Deer,Turkey,Chicken,Pheasant,Sparrow,Babboon,Monkey,99,99,99,99,99,99,99, , , , , , , 
26,elephant,lion,tiger,hippo,panda,camel,giraffe,monkey,gorilla,dolphin,whale,shark,jellyfish,snake,alligator,fox,possuk,deer,rabbit,bear,eagle,99,99,99,99,99,99,99, , , , , , , 
27,cat,dog,lizard,lop bunny,hamster,elephatn,rhino,hippo,zebra,giraffe,parrot,spider,dolphin,wale,shrimp,salmon,otter,seal,crab,99,99,99,99,99,99,99,99,99, , , , , , , 
28,monkey,cat,dog,fish,goat,sheep,gorrilla,rhino,hippo,lion,sea lion,otter,tiger,whale,shark,llama,tiger,jaguar,coyote,99,99,99,99,99,99,99,99,99, , , , , , , 
29,dog,Cat,snake,rabbit,deer,sloth,monkey,lion,dinasor,flamingo,bat,gorilla,panda,iguana,amadillo,lizard,bear,bird,donkey,elephant,99,99,99,99,99,99,99,99, , , , , , , 
30,Penguin,Tiger,Lamb,Elephant,Monkey,Possum,Walrus,Chimpanzee,Baboon,Lion,Bear,Leopard,Seal,Dugong,Seahorse,Duck,Bablefish,Rhino,T-Rex,Sea Cucumber,99,99,99,99,99,99,99,99, , , , , , , 
