id,no_int,LATENT,LATENT2,AVERAGE,o_ffi,oi_bfas,o_bfas,i_bfas,bfasi01,bfasi02,bfasi03,bfasi04,bfasi05,bfasi06,bfasi07,bfasi08,bfasi09,bfasi10,bfaso01,bfaso02,bfaso03,bfaso04,bfaso05,bfaso06,bfaso07,bfaso08,bfaso09,bfaso10,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o12
4,0.169,0.053,0.023,3.658333334,3.666666667,3.65,4.2,3.1,3,4,2,2,4,4,4,3,3,2,5,5,3,4,4,4,4,5,4,4,3,4,4,4,2,4,4,4,3,4,4,4
6,-0.061,0.085,0.156,3.808333334,3.666666667,3.95,4.4,3.5,4,4,3,3,3,4,2,4,4,4,5,5,5,5,3,3,5,5,4,4,4,5,4,4,3,3,3,3,3,4,4,4
7,0.096,-0.103,-0.002,3.358333334,3.416666667,3.3,3.6,3,3,4,3,3,3,3,3,3,2,3,3,5,5,5,5,2,2,2,2,5,3,3,3,1,5,3,3,5,4,3,5,3
9,-0.131,-0.221,-0.244,3.325,3,3.65,4,3.3,3,2,4,3,3,4,2,4,4,4,4,4,4,5,4,3,2,5,5,4,4,4,3,2,3,2,3,4,2,3,3,3
10,0.526,0.082,0.186,3.783333334,3.666666667,3.9,4.4,3.4,4,1,4,2,4,5,4,3,3,4,4,5,5,5,4,5,5,2,4,5,2,5,4,4,4,4,4,5,3,3,5,1
11,0.233,-0.118,-0.249,3.316666667,3.333333333,3.3,3.9,2.7,3,3,3,4,2,3,3,3,2,1,4,4,4,3,4,4,4,5,4,3,3,3,3,3,3,3,4,5,4,3,3,3
14,-0.236,-0.351,-0.9,2.741666667,3.083333333,2.4,2.6,2.2,2,2,3,1,2,3,2,2,2,3,3,4,2,5,2,3,2,1,1,3,5,3,2,4,1,5,3,5,1,2,4,2
15,-0.095,-0.048,-0.206,3.475,3.5,3.45,3.8,3.1,3,3,4,2,3,1,4,4,3,4,4,4,3,5,4,2,3,4,5,4,4,4,4,4,2,4,3,5,2,4,4,2
16,0.012,0.025,0.002,3.5,3.75,3.25,3.6,2.9,3,3,3,3,4,2,4,3,3,1,4,5,3,4,5,3,2,4,2,4,2,4,4,5,4,2,4,5,2,5,4,4
17,-0.167,-0.261,-0.308,3.15,3,3.3,3.7,2.9,4,3,3,2,2,2,2,3,4,4,4,4,3,5,4,3,5,2,2,5,2,5,3,3,2,2,2,5,2,3,4,3
18,-1.137,-0.479,-0.369,3.058333334,2.666666667,3.45,2,4.9,5,4,5,5,5,5,5,5,5,5,2,2,2,1,2,1,4,2,2,2,1,5,2,5,2,1,2,5,1,1,5,2
21,0.049,0.111,0.137,3.766666667,3.833333333,3.7,4,3.4,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,5,4,4
24,0.046,0.054,0.038,3.708333334,3.666666667,3.75,4.1,3.4,4,3,2,2,4,4,4,3,4,4,4,4,4,5,4,3,4,5,5,3,4,4,4,3,4,4,4,4,2,3,4,4
26,-0.49,-0.113,-0.125,3.408333334,3.416666667,3.4,3.3,3.5,3,4,2,4,4,4,3,4,3,4,3,3,4,4,5,2,5,2,1,4,4,5,3,4,4,4,1,4,3,2,4,3
27,0.533,0.232,0.262,3.858333334,4.166666667,3.55,4,3.1,4,4,4,3,2,2,3,3,2,4,5,5,5,5,4,4,5,1,1,5,5,5,5,5,4,2,5,5,3,5,4,2
28,-0.095,-0.081,0.03,3.433333334,3.416666667,3.45,3.8,3.1,3,3,3,3,3,3,3,3,3,4,4,5,4,5,5,2,5,2,2,4,3,3,4,3,5,2,1,5,4,4,4,3
29,0.417,0.381,0.406,4.15,4.5,3.8,4,3.6,4,4,4,4,5,3,2,3,4,3,4,4,4,3,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,5,5,5
30,0.453,0.501,0.627,4.316666667,4.833333333,3.8,3.8,3.8,1,3,5,4,3,5,5,5,5,2,1,4,3,5,5,1,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5
31,0.802,0.528,0.92,4.391666667,4.833333333,3.95,4.1,3.8,3,5,5,3,5,5,3,3,3,3,5,5,5,5,5,5,5,1,1,4,5,5,5,4,5,5,4,5,5,5,5,5
