"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"cat","dog","giraffe","elephant","monkey","chicken","donkey","rat","bird","snake","rhino","buffalo","cow","goat","alpaca","pig","shark","fish","penguin","turtle","bear","","","","","","","","","","","","","",""
"cat","mouse","dog","raccoon","squirrel","snake","bear","deer","rabbit","bird","monkey","zebra","lion","tiger","crow","giraffe","elephant","gazelle","fox","fish","shark","starfish","seahorse","horse","alpaca","","","","","","","","","",""
"monkey","cat","dog","gorilla","zebra","fish","elephant","giraffe","ant","lion","tiger","pig","horse","donkey","","","","","","","","","","","","","","","","","","","","",""
"jaguar","cat","dog","mouse","deer","dolphin","giraffe","kangaroo","fish","snail","tiger","lion","snake","rat","racoon","bear","stingray","moose","antelope","armadillo","bird","bird","","","","","","","","","","","","",""
"cat","dog","fish","bird","monkey","elephant","giraffe","dolphin","shark","lion","tiger","bear","penguin","snake","shark","spider","mouse","rat","skunk","squirrel","flamingo","polar bear","tiger","parrot","ferret","bunny","lizard","","","","","","","",""
"dog","cat","spider","cow","horse","pig","monkey","fish","shark","snake","elephant","mouse","rat","roach","butterfly","eagle","pigeon","bull","lion","tiger","flamingo","zebra","","","","","","","","","","","","",""
"polar bear","panda bear","koala bear","fish","octopus","squid","gold fish","clown fish","bird","eagle","hawk","falcon","vulture","slug","snail","sloth","dog","shih tzu","lab","golden retriever","cat","russian blue","canary","whale","orca","sperm whale","","","","","","","","",""
"dog","cat","monkey","baboon","chimp","ape","gorilla","zebra","donkey","lion","tiger","bear","bird","mouse","rat","snail","","","","","","","","","","","","","","","","","","",""
"dog","cat","rabbit","squirrel","horse","chicken","cow","bird","lion","tiger","bear","monkey","fish","seahorse","hamster","guinea pig","turtle","frog","fox","heron","duck","","","","","","","","","","","","","",""
"fox","cat","dog","bird","possum","rat","zebra","elephant","cheetah","tiger","lion","deer","cow","pig","snake","frog","lizard","ferret","","","","","","","","","","","","","","","","",""
"cat","dog","cow","elephant","giraffe","snake","bird","fish","monkey","raccoon","scorpion","bee","parrot","bear","deer","turkey","chicken","bull","human","","","","","","","","","","","","","","","",""
"bear","dog","cat","wolf","snake","rat","bat","guinea pig","pig","horse","cow","donkey","lion","jaguar","ocelot","caracal","salmon","bird","hawk","racoon","deer","frog","hog","fox","","","","","","","","","","",""
"dog","cat","horse","giraffe","turtle","sugar glider","hippo","rhino","lion","tiger","wolf","fox","elephant","zebra","deer","turkey","chicken","pheasant","sparrow","baboon","monkey","","","","","","","","","","","","","",""
"elephant","lion","tiger","hippo","panda","camel","giraffe","monkey","gorilla","dolphin","whale","shark","jellyfish","snake","alligator","fox","opossum","deer","rabbit","bear","eagle","","","","","","","","","","","","","",""
